intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-4536,GALAXY;SPIRAL,ib1f24030,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.18538538194,55396.20191296296,1300.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55761.40418974,11570,GO,,POLYGON -171.38520204999998 2.19084939 -171.39487938000002 2.21137002 -171.39490502907194 2.211359855478932 -171.39491684 2.2113849 -171.43709288000002 2.19467008 -171.42741507 2.17414972 -171.42738942160716 2.1741598851517354 -171.42737761 2.17413484 -171.38520204999998 2.19084939 -171.38520204999998 2.19084939,mast:HST/product/ib1f24030_drz.jpg,mast:HST/product/ib1f24030_drz.fits,PUBLIC,False,,24795528,920268311
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-4536,GALAXY;SPIRAL,ib1f24020,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354167,55396.18370702546,1300.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55761.40283557,11570,GO,,POLYGON -171.38520204999998 2.19084939 -171.39487938000002 2.21137002 -171.39490502907194 2.211359855478932 -171.39491684 2.2113849 -171.43709288000002 2.19467008 -171.42741507 2.17414972 -171.42738942160716 2.1741598851517354 -171.42737761 2.17413484 -171.38520204999998 2.19084939 -171.38520204999998 2.19084939,mast:HST/product/ib1f24020_drz.jpg,mast:HST/product/ib1f24020_drz.fits,PUBLIC,False,,24795527,920268313
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_f555w_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354,55396.18370704,1300.0,441.7,659.1,,55761.40283557,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57248950431915 2.174110942110973 188.56280836191993 2.194757256918546 188.6049027072059 2.2113536347535785 188.6146825010522 2.190993189219108 POLYGON 188.56270923389687 2.1951314443833 188.55322607544255 2.2154475330394314 188.55325911272283 2.2156456336890358 188.59514467303367 2.231780049575073 188.60478156051897 2.21168380310701 188.56270923389687 2.1951314443833,mast:HST/product/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.fits,PUBLIC,False,,26506213,935226466
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_f814w_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.18538539,55396.20191296,1300.0,702.5,961.2,,55761.40418974,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57247849083728 2.174110942027873 188.56280836191993 2.194757256918546 188.6049027072059 2.2113536347535785 188.6146825010522 2.190993189219108 POLYGON 188.604770546143 2.211639781042536 188.56273126101308 2.1951424502496097 188.55320404424467 2.2156236214433336 188.59514467303367 2.231780049575073 188.604770546143 2.211639781042536,mast:HST/product/hst_11570_24_wfc3_uvis_f814w_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_f814w_ib1f24_drc.fits,PUBLIC,False,,26506237,935226913
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_total_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354,55396.20191296,2600.0,,,,55761.40418974,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57248950431915 2.174110942110973 188.56284140219833 2.194801279602627 188.60492473425202 2.2113206177773987 188.6146825010522 2.190993189219108 POLYGON 188.56270923342734 2.195164461047776 188.55320404424467 2.2156236214433336 188.59517771425823 2.2317140160049216 188.6047595336185 2.211727825635921 188.56270923342734 2.195164461047776,mast:HST/product/hst_11570_24_wfc3_uvis_total_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_total_ib1f24_drc.fits,PUBLIC,False,,26506269,935227871
science,HST,HAP-MVM,WFC3/UVIS,HAP,F350LP,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all,190.71699875,13.25730833333,image,,3,55050.46460205,55050.47071295,400.0,325.5,993.8,,55415.64682862,,,,POLYGON 190.75200252270974 13.248061576213923 190.7123448307138 13.224146794530686 190.69896493409306 13.242811188197571 190.73848923822618 13.266405556183452 190.75200252270974 13.248061576213923 POLYGON 190.73830502821664 13.2666598863433 190.69878009931338 13.243154324549716 190.68552500781945 13.261618832797778 190.72500766420234 13.284826700760998 190.73830502821664 13.2666598863433,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all_drc.fits,PUBLIC,False,,87524006,659453591
science,HST,HAP-MVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f555w_all,190.71699875,13.25730833333,image,,3,55050.40285427,55050.4135948,800.0,441.7,659.1,,55415.5361111,,,,POLYGON 190.7520142218275 13.248017222621508 190.71242481252375 13.224125068893096 190.69897649098743 13.242789048109792 190.73852345882236 13.26640576089982 190.7520142218275 13.248017222621508 POLYGON 190.73836213651592 13.266649122274348 190.69882587213016 13.243132394115735 190.68554774350045 13.2616300789364 190.72501914640557 13.284815664366326 190.73836213651592 13.266649122274348,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f555w_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f555w_all_drc.fits,PUBLIC,False,,87524005,659499603
science,HST,HAP-MVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f814w_all,190.71699875,13.25730833333,image,,3,55050.44801649,55050.45875703,800.0,702.5,961.2,,55415.64584487,,,,POLYGON 190.7520594799414 13.248073019227316 190.71241340802385 13.224124999712988 190.6989761119572 13.242844573012022 190.7385120519568 13.266405692661525 190.7520594799414 13.248073019227316 POLYGON 190.69881446683357 13.243132324234448 190.6855363374301 13.261630008369183 190.72500773876925 13.284815595433859 190.73838458068207 13.266704785306068 190.69881446683357 13.243132324234448,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f814w_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f814w_all_drc.fits,PUBLIC,False,,87524004,659516774
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-4639,GALAXY;SPIRAL,ib1f23050,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.4480165162,55050.45264591435,800.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55415.64584487,11570,GO,,POLYGON -169.24793320000003 13.24816187 -169.26137634999998 13.26669274 -169.30103513 13.24291371 -169.28759027 13.22438493 -169.24793320000003 13.24816187 -169.24793320000003 13.24816187,mast:HST/product/ib1f23050_drz.jpg,mast:HST/product/ib1f23050_drz.fits,PUBLIC,False,,24795525,920268402
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-4639,GALAXY;SPIRAL,ib1f23040,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.40285428241,55050.40748368055,800.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55415.5361111,11570,GO,,POLYGON -169.24793320000003 13.24816187 -169.26137634999998 13.26669274 -169.30103513 13.24291371 -169.28759027 13.22438493 -169.24793320000003 13.24816187 -169.24793320000003 13.24816187,mast:HST/product/ib1f23040_drz.jpg,mast:HST/product/ib1f23040_drz.fits,PUBLIC,False,,24795524,920268411
science,HST,CALWF3,WFC3/UVIS,HST,F350LP,OPTICAL,NGC-4639,GALAXY;SPIRAL,ib1f23060,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.46460204861,55050.47071296296,400.0,325.5,993.8,Narrowing in on the Hubble Constant and Dark Energy,55415.64682862,11570,GO,,POLYGON -169.24793320000003 13.24816187 -169.26137634999998 13.26669274 -169.30103513 13.24291371 -169.28759027 13.22438493 -169.24793320000003 13.24816187 -169.24793320000003 13.24816187,mast:HST/product/ib1f23061_drz.jpg,mast:HST/product/ib1f23061_drz.fits,PUBLIC,False,,26100391,920695635
science,HST,CALWF3,WFC3/UVIS,HST,F606W,OPTICAL,NGC-4639,GALAXY;DISK;HALO;SPIRAL,ieyr19060,190.6988880005,13.12724761681,image,"Jang, In Sung",3,60120.27910046296,60120.30949394676,2476.0,474.9,713.2,TRGB and Cepheid distance scales: is there local tension?,60303.49863424,17079,GO,,POLYGON -169.27487975999998 13.10283257 -169.27752685999997 13.1253705 -169.27797622407184 13.125348128098057 -169.278013 13.12566121 -169.32450668 13.12334224 -169.32185529000003 13.10080478 -169.32140598493081 13.100827227595436 -169.32136916000002 13.10051417 -169.27487975999998 13.10283257 -169.27487975999998 13.10283257,mast:HST/product/ieyr19060_drz.jpg,mast:HST/product/ieyr19060_drz.fits,PUBLIC,False,,149345181,933949394
science,HST,CALWF3,WFC3/UVIS,HST,F606W,OPTICAL,NGC-4639,GALAXY;DISK;HALO;SPIRAL,ieyr69020,190.6983727628,13.12721211939,image,"Jang, In Sung",3,60451.62662465278,60451.64189074074,2572.0,474.9,713.2,TRGB and Cepheid distance scales: is there local tension?,60635.91097215,17079,GO,,POLYGON -169.27601114000004 13.1029568 -169.27853711 13.12550805 -169.32504255999999 13.12342612 -169.32251235 13.10087533 -169.27601114000004 13.1029568 -169.27601114000004 13.1029568,mast:HST/product/ieyr69020_drz.jpg,mast:HST/product/ieyr69020_drz.fits,PUBLIC,False,,214995159,933960610
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_11570_23_wfc3_uvis_f814w_ib1f23,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.44801649,55050.45875703,800.0,702.5,961.2,,55415.64584487,11570,HAP,,POLYGON 190.75206797082498 13.248056847442076 190.71233772598194 13.224143857451121 190.6989959017011 13.242863625266445 190.7385130253258 13.266404508016207 190.75206797082498 13.248056847442076 POLYGON 190.7383886680591 13.266690661986768 190.69884889663345 13.243160763896107 190.68555025308584 13.261648720082752 190.72504649983995 13.28482848934868 190.7383886680591 13.266690661986768,mast:HST/product/hst_11570_23_wfc3_uvis_f814w_ib1f23_drc.jpg,mast:HST/product/hst_11570_23_wfc3_uvis_f814w_ib1f23_drc.fits,PUBLIC,False,,26506996,935219391
science,HST,HAP-SVM,WFC3/UVIS,HAP,F350LP,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_11570_23_wfc3_uvis_f350lp_ib1f23,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.46460205,55050.47071295,400.0,325.5,993.8,,55415.64682862,11570,HAP,,POLYGON 190.75201144308716 13.248089871428702 190.71237164200934 13.224143858295188 190.69899590080698 13.242874630821111 190.73849041071455 13.266404509756809 190.75201144308716 13.248089871428702 POLYGON 190.73833213057864 13.266679660752546 190.69876975396195 13.243149752196912 190.68552764042514 13.261637711601496 190.72501257534978 13.284828490179196 190.73833213057864 13.266679660752546,mast:HST/product/hst_11570_23_wfc3_uvis_f350lp_ib1f23_drc.jpg,mast:HST/product/hst_11570_23_wfc3_uvis_f350lp_ib1f23_drc.fits,PUBLIC,False,,26507042,935219635
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_11570_23_wfc3_uvis_f555w_ib1f23,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.40285427,55050.4135948,800.0,441.7,659.1,,55415.5361111,11570,HAP,,POLYGON 190.75206797233213 13.248067852995861 190.71242816900804 13.224132854139436 190.6989732910687 13.24284161241702 190.73852433263144 13.266404507145154 190.75206797233213 13.248067852995861 POLYGON 190.6988036744414 13.24312774372392 190.68553895351909 13.261593690850306 190.7250238832296 13.284817484350139 190.73837736162795 13.266701668406546 190.6988036744414 13.24312774372392,mast:HST/product/hst_11570_23_wfc3_uvis_f555w_ib1f23_drc.jpg,mast:HST/product/hst_11570_23_wfc3_uvis_f555w_ib1f23_drc.fits,PUBLIC,False,,26507045,935219778
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4639,GALAXY;SPIRAL,hst_11570_23_wfc3_uvis_total_ib1f23,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.40285427,55050.47071295,2000.0,,,,55415.64682862,11570,HAP,,POLYGON 190.75206797082498 13.248056847442076 190.71233772598194 13.224143857451121 190.6989845990682 13.242819602177988 190.73852433084258 13.266382496035764 190.75206797082498 13.248056847442076 POLYGON 190.73835474610226 13.266690664580546 190.6987358343823 13.243160755110758 190.68552764042514 13.261637711601496 190.72504649813243 13.284762456032377 190.73835474610226 13.266690664580546,mast:HST/product/hst_11570_23_wfc3_uvis_total_ib1f23_drc.jpg,mast:HST/product/hst_11570_23_wfc3_uvis_total_ib1f23_drc.fits,PUBLIC,False,,26506999,935219908
science,HST,HAP-SVM,WFC3/UVIS,HAP,F606W,OPTICAL,NGC-4639,GALAXY;DISK;HALO;SPIRAL,hst_17079_69_wfc3_uvis_f606w_ieyr69,190.6916666667,13.22305555556,image,"Jang, In Sung",3,60451.61038614,60451.64189075,2572.0,474.9,713.2,,60635.91097215,17079,HAP,,POLYGON 190.72440051670893 13.10268528330244 190.67791357482272 13.100473660910097 190.67761975914823 13.100770787482077 190.67728076586215 13.100814782329463 190.67489438666132 13.123320935233298 190.67532377658168 13.123706168246423 190.67483782413322 13.123937241160231 190.67250752631364 13.14624527678573 190.71858486579487 13.147907623727376 190.71879957475156 13.14759945139712 190.71912732520067 13.147577414236912 190.7217246472648 13.125533068197504 190.72129518962052 13.125235956525758 190.721769803321 13.125037814165353 190.72440051670893 13.10268528330244,mast:HST/product/hst_17079_69_wfc3_uvis_f606w_ieyr69_drc.jpg,mast:HST/product/hst_17079_69_wfc3_uvis_f606w_ieyr69_drc.fits,PUBLIC,False,,215126577,949344954
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4639,GALAXY;DISK;HALO;SPIRAL,hst_17079_69_wfc3_uvis_total_ieyr69,190.6916666667,13.22305555556,image,"Jang, In Sung",3,60451.61038614,60451.64189075,2572.0,,,,60635.91097215,17079,HAP,,POLYGON 190.72440051670893 13.10268528330244 190.67791357482272 13.100473660910097 190.67761975914823 13.100770787482077 190.67728076586215 13.100814782329463 190.67489438666132 13.123320935233298 190.6753350855501 13.123618124815343 190.67518815253524 13.12387123945322 190.67483782413322 13.123937241160231 190.67250752631364 13.14624527678573 190.71295654858042 13.147709901718882 190.7185961621854 13.147841589527035 190.71881087198435 13.147544422740278 190.71912731963062 13.14751138091863 190.7217246472648 13.125533068197504 190.7212951885952 13.125224950971083 190.7217698022744 13.125026808610713 190.72440051670893 13.10268528330244,mast:HST/product/hst_17079_69_wfc3_uvis_total_ieyr69_drc.jpg,mast:HST/product/hst_17079_69_wfc3_uvis_total_ieyr69_drc.fits,PUBLIC,False,,215126588,949345033
science,HST,HAP-MVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-3370,GALAXY;SPIRAL,hst_skycell-p1717x17y08_wfc3_uvis_f814w_all,161.76942375,17.27318055556,image,,3,55290.68351993,56308.88310244,1491.0,702.5,961.2,,56490.04288193,,,,POLYGON 161.79004830056618 17.243955767991984 161.77117822436617 17.24678352482151 161.76642195160693 17.24276146851362 161.7600720061472 17.248512009225557 161.74308661032 17.25113999975476 161.74434700810696 17.26284413145469 161.73214741002639 17.273958587471565 161.7470933935446 17.287131668863307 161.74818745314647 17.296580175458672 161.75631624386946 17.295241346879347 161.7672146049894 17.304751360052844 161.7820418278712 17.290954973160066 161.7945260080613 17.288857766839097 161.79366770973786 17.280133008030763 161.80148412834046 17.27283699720296 161.79210888154248 17.264728301813577 161.79004830056618 17.243955767991984,mast:HST/product/hst_skycell-p1717x17y08_wfc3_uvis_f814w_all_drc.jpg,mast:HST/product/hst_skycell-p1717x17y08_wfc3_uvis_f814w_all_drc.fits,PUBLIC,False,,83772856,663089526
